Time, Cooling Engery (kWh) Zone1, Cooling Engery (kBtu) Zone2, Cooling Engery (kBtu) Zone3, Cooling Engery (kBtu) Zone4, Cooling Engery (kBtu) Zone5, Heating Engery (kBtu) Zone1, Heating Engery (kBtu) Zone2, Heating Engery (kBtu) Zone3, Heating Engery (kBtu) Zone4, Heating Engery (kBtu) Zone5, Electric Light Engery (kBtu) Zone1, Electric Light (kBtu) Zone2, Electric Light Energy (kBtu) Zone3, Electric Light Energy (kBtu) Zone4, Electric Light Energy (kBtu) Zone5, Equipment Engery (kBtu) Zone1, Equipment Engery (kBtu) Zone2, Equipment Engery (kBtu) Zone3, Equipment Engery (kBtu) Zone4, Equipment Engery (kBtu) Zone5,
01 Jan 17:00,0,0,0,0,0,13.285644,6.602246,4.862871,7.233758,1.162423,1.489281,0.620534,1.489281,0.620534,0.74464,7.621745,3.175727,7.621745,3.175727,3.810873
01 Jan 18:00,0,0,0,0,0,12.548041,6.345491,5.204264,6.918044,0.60036,2.010529,0.83772,2.010529,0.83772,1.005264,7.621745,3.175727,7.621745,3.175727,3.810873
01 Jan 19:00,0,0,0,0,0,12.773195,6.481936,6.311792,6.995858,0.548829,2.382849,0.992854,2.382849,0.992854,1.191425,7.088223,2.953426,7.088223,2.953426,3.544112
01 Jan 20:00,0,0,0,0,0,13.019325,6.624579,7.316041,7.083567,0.537785,2.382849,0.992854,2.382849,0.992854,1.191425,6.783353,2.826397,6.783353,2.826397,3.391677
01 Jan 21:00,0,0,0,0,0,13.309815,6.784381,8.278622,7.192437,0.572253,1.638209,0.682587,1.638209,0.682587,0.819104,6.478484,2.699368,6.478484,2.699368,3.239242
01 Jan 22:00,0,0,0,0,0,14.367878,7.263453,9.937287,7.621758,1.015755,0.893568,0.37232,0.893568,0.37232,0.446784,5.411439,2.254766,5.411439,2.254766,2.70572
01 Jan 23:00,0,0,0,0,0,15.387893,7.722942,11.470633,8.033958,1.470773,0.37232,0.155133,0.37232,0.155133,0.18616,4.420612,1.841922,4.420612,1.841922,2.210306
02 Jan 00:00,0,0,0,0,0,16.333109,8.145939,12.865021,8.412484,1.903107,0.148928,0.062053,0.148928,0.062053,0.074464,3.429785,1.429077,3.429785,1.429077,1.714893
02 Jan 01:00,0,0,0,0,0,16.796438,8.362044,13.711816,8.588479,2.100551,0.148928,0.062053,0.148928,0.062053,0.074464,3.124916,1.302048,3.124916,1.302048,1.562458
02 Jan 02:00,0,0,0,0,0,17.115615,8.511107,14.369593,8.699752,2.22543,0.148928,0.062053,0.148928,0.062053,0.074464,2.972481,1.238534,2.972481,1.238534,1.48624
