Name,Frame Type,Glass Type,U value,Tvis,Embodied Carbon (KgCO2 (1770mmX1200mm))*,Embodied Carbon (KgCO2/ft²)**
Aluminum Double,Aluminum,Double,0.40,0.63,161,6.7
Aluminum Triple,Aluminum,Triple,0.20,0.50,212,8.8
Wood Double,Wood,Double,0.35,0.63,85,3.5
Wood Triple,Wood,Triple,0.15,0.50,136,5.7
