City,CO2e (lb/MWh),CO2e (lb/kWh),CO2e (kg/kWh)
San Antonio,913.4,0.9134,0.414311
Seattle,299.1,0.2991,0.135669
Milwaukee,1233,1.233,0.559278936
Los Angeles,387.2,0.3872,0.175630822
New York,378.2,0.3782,0.171548494
Atlanta,880.9,0.8809,0.399590512
